Player,Position,Team,Salary
Bogdan Bogdanović,SG,Atlanta Hawks,18000000
Brandon Goodwin,PG,Atlanta Hawks,1701593
Bruno Fernando,C,Atlanta Hawks,1517981
Cam Reddish,SF,Atlanta Hawks,4458000
Clint Capela,C,Atlanta Hawks,16000000
Danilo Gallinari,PF,Atlanta Hawks,19500000
De'Andre Hunter,SF,Atlanta Hawks,7422000
John Collins,PF,Atlanta Hawks,4137302
Kevin Huerter,SG,Atlanta Hawks,2761920
Khyri Thomas,,Atlanta Hawks,744684
Kris Dunn,,Atlanta Hawks,4767000
Onyeka Okongwu,C,Atlanta Hawks,5813640
Rajon Rondo,PG,Atlanta Hawks,7500000
Solomon Hill,PF,Atlanta Hawks,2174318
Tony Snell,SG,Atlanta Hawks,12178571
Trae Young,PG,Atlanta Hawks,6571800
Aaron Nesmith,SF,Boston Celtics,3458400
Carsen Edwards,SG,Boston Celtics,1517981
Daniel Theis,C,Boston Celtics,5000000
Demetrius Jackson,,Boston Celtics,92857
Grant Williams,PF,Boston Celtics,2498760
Guerschon Yabusele,,Boston Celtics,1039080
Javonte Green,SG,Boston Celtics,1517981
Jaylen Brown,SG,Boston Celtics,22991071
Jayson Tatum,SF,Boston Celtics,9897120
Jeff Teague,PG,Boston Celtics,2564753
Kemba Walker,PG,Boston Celtics,34379100
Marcus Smart,PG,Boston Celtics,13446428
Payton Pritchard,SG,Boston Celtics,2035800
Robert Williams,C,Boston Celtics,2029920
Romeo Langford,,Boston Celtics,3631200
Semi Ojeleye,PF,Boston Celtics,1752950
Tristan Thompson,PF,Boston Celtics,9258000
Bruce Brown,PG,Brooklyn Nets,1663861
DeAndre Jordan,C,Brooklyn Nets,10375678
James Harden,SG,Brooklyn Nets,40824000
James Harden,SG,Brooklyn Nets,40824000
James Harden,SG,Brooklyn Nets,40824000
Jeff Green,PF,Brooklyn Nets,2564753
Joe Harris,SF,Brooklyn Nets,16071429
Kevin Durant,PF,Brooklyn Nets,39058950
Kyrie Irving,PG,Brooklyn Nets,33329100
Landry Shamet,SG,Brooklyn Nets,2090040
Nicolas Claxton,,Brooklyn Nets,1517981
Spencer Dinwiddie,SG,Brooklyn Nets,11454048
Timothé Luwawu-Cabarrot,SF,Brooklyn Nets,1824003
Tyler Johnson,SG,Brooklyn Nets,2028594
Bismack Biyombo,C,Charlotte Hornets,2331593
Caleb Martin,SF,Charlotte Hornets,1517981
Cody Martin,SF,Charlotte Hornets,1517981
Cody Zeller,C,Charlotte Hornets,15415730
Devonte' Graham,PG,Charlotte Hornets,1663861
Gordon Hayward,SF,Charlotte Hornets,28500000
Jalen McDaniels,SF,Charlotte Hornets,1517981
LaMelo Ball,PG,Charlotte Hornets,7839960
Malik Monk,SG,Charlotte Hornets,5345687
Miles Bridges,PF,Charlotte Hornets,3934320
Nick Richards,PF,Charlotte Hornets,1000000
Nicolas Batum,SF,Charlotte Hornets,29695187
P.J. Washington,PF,Charlotte Hornets,4023600
Terry Rozier,SG,Charlotte Hornets,18900000
Vernon Carey Jr.,C,Charlotte Hornets,1350000
Chandler Hutchison,SF,Chicago Bulls,2443440
Coby White,PG,Chicago Bulls,5572680
Cristiano Felício,C,Chicago Bulls,7529020
Daniel Gafford,PF,Chicago Bulls,1517981
Denzel Valentine,SG,Chicago Bulls,4642800
Garrett Temple,SG,Chicago Bulls,4767000
Lauri Markkanen,PF,Chicago Bulls,6731508
Luke Kornet,PF,Chicago Bulls,2304878
Otto Porter,SF,Chicago Bulls,28489239
Patrick Williams,PF,Chicago Bulls,7068360
Ryan Arcidiacono,PG,Chicago Bulls,3000000
Thaddeus Young,PF,Chicago Bulls,13545000
Tomáš Satoranský,SG,Chicago Bulls,10000000
Wendell Carter Jr.,C,Chicago Bulls,5448840
Zach LaVine,SG,Chicago Bulls,19500000
Zach Norvell,,Chicago Bulls,1445697
Andre Drummond,C,Cleveland Cavaliers,28751775
Cedi Osman,SF,Cleveland Cavaliers,8750000
Collin Sexton,SG,Cleveland Cavaliers,4991880
Damyean Dotson,SG,Cleveland Cavaliers,2000000
Darius Garland,PG,Cleveland Cavaliers,6720720
Dean Wade,PF,Cleveland Cavaliers,1517981
Dylan Windler,SF,Cleveland Cavaliers,2137440
Isaac Okoro,SG,Cleveland Cavaliers,6400920
J.R. Smith,,Cleveland Cavaliers,1456667
JaVale McGee,C,Cleveland Cavaliers,4200000
Jarrett Allen,C,Cleveland Cavaliers,3909902
Jarrett Allen,C,Cleveland Cavaliers,3909902
Jarrett Allen,C,Cleveland Cavaliers,3909902
Kevin Love,PF,Cleveland Cavaliers,31300000
Kevin Porter Jr.,,Cleveland Cavaliers,2033160
Larry Nance Jr.,PF,Cleveland Cavaliers,11709091
Matthew Dellavedova,,Cleveland Cavaliers,2174318
Rayjon Tucker,,Cleveland Cavaliers,340000
Taurean Prince,PF,Cleveland Cavaliers,13942308
Taurean Prince,PF,Cleveland Cavaliers,13942308
Taurean Prince,PF,Cleveland Cavaliers,13942308
Boban Marjanović,C,Dallas Mavericks,3500000
Dorian Finney-Smith,PF,Dallas Mavericks,4000000
Dwight Powell,C,Dallas Mavericks,10185185
J.J. Barea,,Dallas Mavericks,2564753
Jalen Brunson,PG,Dallas Mavericks,1663861
James Johnson,PF,Dallas Mavericks,16047100
Josh Green,SG,Dallas Mavericks,2816760
Josh Richardson,SG,Dallas Mavericks,10800000
Kristaps Porziņģis,C,Dallas Mavericks,29467800
Luka Dončić,PG,Dallas Mavericks,8049360
Maxi Kleber,PF,Dallas Mavericks,8250000
Tim Hardaway Jr.,SG,Dallas Mavericks,18975000
Trey Burke,PG,Dallas Mavericks,3174603
Tyrell Terry,PG,Dallas Mavericks,1289846
Wesley Iwundu,SF,Dallas Mavericks,1678854
Willie Cauley-Stein,C,Dallas Mavericks,4000000
Bol Bol,PF,Denver Nuggets,2058240
Facundo Campazzo,PG,Denver Nuggets,3623000
Gary Harris,SG,Denver Nuggets,19160714
Isaiah Hartenstein,C,Denver Nuggets,1445697
JaMychal Green,PF,Denver Nuggets,7199760
Jamal Murray,PG,Denver Nuggets,29250000
